                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8005,                 4.3643,                 1.5599,                0.00032,                0.03571,                0.00022,                0.00017,                 1.5302,                 4.2954,                 1.4428,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.5949,                 4.2324,                   1.45,                 0.0005,                0.05042,                0.00089,                0.00054,                  1.226,                  4.162,                 1.2179,             0.00011027,             0.00011027,             0.00011027
                      3,                 1.5563,                 3.9912,                 1.3055,                0.00119,                0.10364,                0.00222,                0.00104,                 1.2864,                 4.0649,                 1.1699,             0.00016807,             0.00016807,             0.00016807
                      4,                 1.4467,                 3.7697,                 1.1902,                0.00214,                0.17192,                0.00352,                0.00185,                 1.2501,                  3.983,                 1.1264,             0.00022339,             0.00022339,             0.00022339
                      5,                 1.4748,                  3.596,                 1.1964,                0.00381,                0.30847,                0.01608,                0.00694,                 1.2509,                 3.9079,                 1.1647,             0.00027624,             0.00027624,             0.00027624
                      6,                 1.3954,                 3.3371,                 1.1503,                0.00534,                0.43838,                0.06498,                0.04151,                 1.2518,                 3.8338,                  1.174,             0.00032661,             0.00032661,             0.00032661
                      7,                 1.4024,                 3.1296,                  1.169,                0.00732,                0.58123,                0.10319,                0.06477,                 1.3833,                  3.775,                 1.2572,             0.00037451,             0.00037451,             0.00037451
                      8,                 1.4112,                 2.9352,                 1.1679,                0.00794,                0.62535,                0.09402,                0.06287,                 1.4269,                 3.7378,                 1.2754,             0.00041993,             0.00041993,             0.00041993
                      9,                 1.3405,                 2.9341,                 1.1339,                0.00888,                0.68207,                0.11783,                0.07843,                 1.5163,                 3.6298,                 1.2772,             0.00046288,             0.00046288,             0.00046288
                     10,                 1.3718,                 2.6844,                 1.1361,                0.00799,                0.63165,                0.11707,                0.08006,                 1.4817,                 3.5999,                 1.2621,             0.00050335,             0.00050335,             0.00050335
                     11,                 1.2817,                 2.6179,                 1.1139,                0.00674,                0.54552,                0.10333,                0.07645,                 1.3831,                 3.5506,                 1.2431,             0.00054135,             0.00054135,             0.00054135
                     12,                  1.292,                 2.7478,                 1.1243,                0.32519,                0.15986,                0.10402,                0.07642,                 1.3986,                 3.5257,                 1.2627,             0.00057687,             0.00057687,             0.00057687
                     13,                 1.2978,                 2.6466,                 1.1283,                0.20607,                0.17422,                0.10925,                0.07881,                 1.4114,                 3.4695,                 1.2803,             0.00060992,             0.00060992,             0.00060992
                     14,                 1.3199,                 2.5317,                 1.1415,                0.58516,                0.02381,                0.10854,                0.07503,                 1.4486,                 3.3458,                 1.2804,             0.00064049,             0.00064049,             0.00064049
                     15,                 1.2538,                 2.4928,                 1.1386,                0.49457,                0.15756,                0.16603,                0.12183,                 1.3164,                 3.0593,                 1.2322,             0.00066859,             0.00066859,             0.00066859
                     16,                 1.1708,                 2.4197,                 1.0743,                0.26267,                0.13655,                 0.1722,                0.12711,                 1.2969,                 3.0152,                 1.2375,             0.00069421,             0.00069421,             0.00069421
                     17,                 1.2015,                 2.4018,                 1.0805,                0.35799,                0.16021,                0.16852,                0.11943,                  1.326,                 2.9769,                 1.2487,             0.00071736,             0.00071736,             0.00071736
                     18,                 1.2144,                 2.3783,                 1.0866,                0.33415,                0.15721,                0.19404,                0.13681,                 1.3082,                 2.9074,                  1.245,             0.00073803,             0.00073803,             0.00073803
                     19,                 1.2275,                 2.3645,                 1.0905,                0.23967,                0.19085,                0.20093,                0.13605,                   1.27,                 2.8325,                 1.2406,             0.00075623,             0.00075623,             0.00075623
                     20,                  1.138,                 2.1636,                 1.0621,                0.31978,                0.24317,                0.20752,                0.14081,                 1.2758,                 2.7026,                 1.2351,             0.00077195,             0.00077195,             0.00077195
                     21,                 1.2152,                 2.3292,                 1.0954,                0.23496,                0.29132,                0.18002,                0.12044,                 1.2799,                 2.7078,                 1.2149,               0.000755,               0.000755,               0.000755
                     22,                   1.21,                 2.2498,                 1.0958,                0.17338,                0.29447,                0.18248,                0.12195,                 1.2493,                 2.7147,                 1.1872,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.1589,                 2.1713,                 1.0899,                 0.3041,                0.19247,                 0.1848,                0.12346,                 1.2351,                 2.7351,                 1.1842,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.2291,                 2.0762,                 1.0875,                0.21621,                0.33829,                0.18647,                0.11872,                 1.2554,                  2.693,                 1.2111,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.1283,                 2.1451,                  1.042,                0.19556,                0.30882,                0.19091,                0.12811,                 1.2311,                 2.6974,                 1.2006,               0.000656,               0.000656,               0.000656
                     26,                 1.1194,                 2.0995,                  1.052,                0.18227,                0.35049,                0.18495,                0.12876,                 1.1986,                  2.771,                 1.1855,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.1057,                 2.0865,                 1.0426,                0.16949,                0.37115,                0.19023,                0.12851,                 1.2195,                 2.8644,                  1.207,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.1062,                 2.0071,                 1.0404,                0.16587,                 0.3827,                0.19431,                0.12486,                 1.2525,                 2.9406,                 1.2043,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.0758,                 1.9059,                 1.0481,                0.26498,                 0.2612,                0.20605,                 0.1316,                 1.2742,                  2.866,                 1.2122,               0.000557,               0.000557,               0.000557
                     30,                  1.071,                 1.9026,                 1.0284,                0.28643,                0.27906,                0.22173,                 0.1445,                    1.3,                 2.8513,                 1.2188,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.0824,                 1.9778,                 1.0288,                0.27219,                0.27906,                0.22605,                0.14533,                 1.2734,                 2.8608,                 1.1889,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.0954,                 1.8513,                 1.0273,                  0.207,                0.34133,                0.21739,                0.14112,                 1.2691,                 2.7641,                 1.1897,             0.00048275,             0.00048275,             0.00048275
                     33,                0.99559,                 1.8126,                 1.0045,                0.31038,                0.21998,                0.23743,                 0.1537,                 1.2582,                 2.7415,                 1.1794,               0.000458,               0.000458,               0.000458
                     34,                 1.0364,                 1.7918,                 1.0307,                0.24079,                0.29657,                0.25984,                0.17519,                 1.2345,                 2.7325,                 1.1626,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.0453,                 1.7669,                 1.0291,                0.30433,                0.28186,                0.26334,                0.17607,                 1.2446,                 2.7246,                 1.1827,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.0434,                 1.7388,                 1.0039,                0.33443,                 0.2886,                0.25656,                0.17396,                  1.241,                 2.7234,                  1.182,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.0044,                 1.7999,                 1.0001,                0.30512,                0.23096,                0.24147,                0.15569,                 1.2167,                  2.752,                 1.1634,               0.000359,               0.000359,               0.000359
